Soil Colour,Ph,Crop type,Soil Moisture,Temperature,Air Humidity
Yellowish brown,5.81,Barley,683.8029058,29.18490786,71.78969946
Yellowish brown,5.43,Barley,408.5715671,33.70720471,77.97739053
brown,5.41,Barley,659.0920744,24.76031105,60.77628206
red,5.65,Barley,842.929764,32.73851507,59.32354345
red,5.27,Barley,414.1993203,25.69274449,66.62491413
brown,5.06,Barley,487.5212262,33.80680929,47.77469251
red,5.57,Barley,820.8567329,32.65949511,40.31759197
brown,5.2,Barley,726.5048072,38.08393948,50.91595054
red,5.34,Barley,939.9159784,35.43074707,60.82272131
gray,5.95,Barley,628.397718,34.23292319,42.99440241
red,5.47,Barley,780.3895476,32.45140078,72.28222536
brown,6.43,Barley,768.7010788,22.61185697,62.21459137
red,6.06,Barley,468.513799,27.01024863,61.77921565
brown,5.6,Barley,801.6475766,24.74705146,64.86232578
brown,6.03,Barley,651.9454739,24.01856157,56.57166562
gray,5.25,Barley,685.823752,32.96375881,64.836761
brown,6.17,Barley,552.4985002,27.99827866,62.05800089
black,6.15,Barley,527.5880503,27.89698264,49.92390283
black,5.79,Barley,762.5760332,34.83673164,45.72879474
Reddish brown,5.99,Barley,440.6303956,22.46622021,40.23528975
black,5.9,Barley,748.5945452,32.37186722,50.51121641
Yellowish brown,5.65,Barley,541.4624976,23.01426608,67.31921149
brown,5.84,Barley,466.5218472,23.28497444,71.65649789
red,5.99,Barley,903.2674218,25.51245583,74.57481526
brown,5.8,Barley,673.6411749,31.48275853,41.97814358
red,6.3,Barley,400.7745337,37.03853837,58.10408442
Reddish brown,5.93,Barley,783.7697805,36.83077335,81.20181201
brown,6.05,Barley,424.8419871,38.64757166,71.10451413
red,5.63,Barley,754.14794,22.2119609,54.84962341
brown,5.99,Barley,805.9594626,29.33212651,72.40464911
brown,5.9,Barley,395.4654845,31.99541439,77.41809636
Dark Brown,5.2,Barley,673.7875478,19.02299534,78.80498538
Reddish brown,6.21,Barley,731.7512713,26.22425309,76.7051323
brown,5.57,Barley,462.1622986,34.90846594,44.35794312
brown,6.05,Barley,927.8079638,35.28726983,39.99390152
brown,6.01,Barley,898.8926732,23.86116554,61.51615757
black,5.85,Barley,913.113218,32.82766255,74.60337098
red,6.15,Barley,351.3558991,22.38197726,56.59230979
brown,6.1,Barley,766.2113,19.62990205,46.27759015
brown,5.57,Barley,891.4067107,18.44366419,58.18156467
brown,5.45,Barley,895.4460155,32.51240158,53.58096683
brown,5.61,Barley,527.994279,29.05412642,59.45842859
red,6,Barley,518.4131014,26.74577988,75.11348102
red,5.74,Barley,917.9210541,20.66510899,46.77438853
brown,5.71,Barley,425.8389695,38.80450797,68.49685483
brown,5.7,Barley,497.2621171,32.10361139,75.83862846
other,6,Barley,625.6791284,36.16177182,55.75736243
brown,5.7,Barley,703.7294322,36.62782649,68.50373606
other,5.8,Barley,960.3877125,23.41158867,49.91586603
brown,6.4,Barley,930.6613623,20.10687481,61.10139107
other,5.7,Barley,831.3398657,21.24283558,72.72860039
brown,5.9,Barley,800.0186865,35.32251749,49.85763478
other,5.8,Barley,875.1762884,38.97932302,63.38915578
other,6,Barley,492.0113428,30.69033234,70.88355159
brown,6.3,Barley,808.5531799,33.22723857,45.26971073
brown,6.07,Barley,496.3696602,38.23214297,44.07958961
brown,5.56,Barley,733.6169237,27.65112189,63.77504282
brown,6.25,Barley,550.2446921,33.09027604,57.73107061
brown,6.3,Barley,733.0429809,36.04671237,51.66838899
red,5.9,Barley,672.593627,36.29225945,44.70741231
brown,5.9,Barley,437.3606396,34.1753631,47.10764913
brown,6.1,Barley,867.9160113,23.65485943,81.2259392
gray,5.7,Barley,840.3122048,28.50899242,43.69588123
gray,5.61,Barley,591.3993548,37.67302885,39.70788536
brown,5.63,Barley,392.9717059,29.88475236,62.70444708
brown,6.35,Barley,377.766874,29.46343116,62.03854994
brown,6,Barley,359.6880054,18.42114697,49.00948583
red,6.1,Barley,392.5907137,28.58465415,59.34578281
red,5.8,Barley,408.8220381,33.42320894,72.49057658
brown,5.61,Barley,617.4736703,33.82878329,67.41403773
brown,5.95,Barley,954.6214434,24.90582822,75.6340079
brown,5.85,Barley,718.3680838,18.87048114,69.53474979
brown,6,Barley,693.6435959,26.38227776,80.96259893
brown,6.2,Barley,394.9716022,27.96928989,68.06970814
brown,6.3,Barley,615.1722709,19.93847873,39.13195054
black,5.9,Barley,871.3250242,26.67489864,78.64099226
brown,6.1,Barley,747.0803534,33.51201906,75.71614774
black,5.95,Barley,418.4003452,34.9854744,63.34809685
other,5.5,Barley,369.2419288,32.5903976,73.84502511
brown,5.6,Barley,733.9186898,35.94243818,78.05485409
black,5.9,Barley,769.3017604,19.7773322,56.57729304
other,6.2,Barley,924.1754133,32.19162455,59.64859301
brown,5.7,Barley,401.4952493,35.7290513,69.34994159
brown,5.6,Barley,693.6749208,22.62732984,50.96885041
other,5.6,Barley,398.488903,31.61827775,62.14365628
brown,5.4,Barley,610.9725248,29.86596628,75.2706511
black,5.9,Barley,506.4048566,24.19754699,44.83529542
brown,5.7,Barley,731.7547666,24.91222857,44.54538979
other,5.4,Barley,863.5063924,23.94828469,76.42347719
other,6.2,Barley,895.81224,25.23651133,51.31257887
red,5.8,Barley,439.7016469,31.09212269,38.62614319
black,6,Barley,880.9507041,27.33736531,61.05962015
other,5.5,Barley,713.5380891,26.74934787,56.04137589
brown,5.4,Barley,589.737332,21.36677755,49.64147192
other,6,Barley,955.4146134,21.94951202,47.90370377
brown,6.5,Barley,321.7377305,25.07360753,69.09578913
Yellowish brown,5.72,Barley,399.3534438,30.49472928,77.68885424
black,5.9,Barley,375.3130154,34.95107323,65.18342573
other,5.5,Barley,732.7081562,29.39140922,43.74302238
other,6.1,Barley,742.6354412,18.23216026,67.52258734
brown,6.2,Barley,535.369764,27.55169062,65.16688
other,5.7,Barley,657.8871424,29.76739106,75.23687082
black,6.2,Barley,551.1378456,26.31360596,61.53205765
Redish brown,5.89,Barley,694.4871207,19.73742076,69.88302827
brown,5.7,Barley,926.32183,26.65230538,65.06504994
brown,6.1,Barley,677.0286429,26.10497323,64.14603057
other,5.8,Barley,940.80097,18.62938351,46.78770285
brown,5.9,Barley,914.1188799,20.33003553,46.23138007
other,6.4,Barley,681.4306828,24.10797043,74.61265567
brown,6.15,Barley,766.5916511,25.37298077,63.96610751
Reddish brown,5.53,Barley,332.1993221,32.12412901,56.49534371
brown,5.71,Barley,801.5378441,29.23046572,47.59271312
other,6,Barley,824.2833725,26.56890261,39.08373386
other,6.3,Barley,859.5793154,28.70185715,78.06252851
other,6.1,Barley,573.5841064,19.50081239,48.16378875
brown,5.8,Barley,761.2762369,19.49655406,55.29787959
brown,5.8,Barley,738.718584,29.63822079,41.08245597
red,6.2,Barley,984.6096034,32.67367917,60.30390769
red,6.1,Barley,322.6057696,25.81300635,42.08328337
brown,5.65,Barley,342.4431069,29.66185289,50.80355729
brown,6.58,Barley,459.3026495,37.98171538,39.37290809
Reddish brown,5.44,Barley,708.9269297,34.11495609,47.51864582
brown,6.1,Barley,716.3284146,37.21007959,55.09380817
brown,6.6,Barley,859.5118221,32.23315033,63.06073455
other,5.5,Barley,471.7307481,26.40488684,65.21626683
brown,6,Barley,356.8913104,22.59447703,77.89861807
other,6.2,Barley,816.8858486,29.11025263,77.05742236
other,5.6,Barley,580.6395043,24.0014384,40.66397833
brown,5.9,Barley,343.5821256,23.62404301,81.25390177
brown,5.7,Barley,612.9542349,34.93016874,70.08273855
brown,6,Barley,550.3096529,36.05535467,64.95732428
red,5.9,Barley,530.7001898,30.65249738,44.64276776
red,5.78,Barley,631.0901257,30.66098124,45.14644997
brown,5.17,Barley,328.6156868,32.29177821,80.58091972
brown,6,Barley,844.2972605,36.05820798,56.06359896
other,6.1,Barley,653.7122726,31.18441036,58.3617159
brown,5.67,Barley,760.850853,32.47033071,59.3086458
black,5.36,Barley,369.5251553,35.23507181,47.15566418
brown,5.56,Barley,501.6309849,25.18080081,68.34245666
brown,5.56,Barley,568.1737744,34.44437465,64.22987538
brown,5.62,Barley,651.7931828,24.54964016,72.93700533
brown,5.3,Barley,942.9932157,26.82470594,55.628312
brown,5.75,Barley,518.5735772,29.73780117,42.36024859
gray,5.26,Barley,381.472308,33.48468031,46.21275521
Dark brown,5.45,Barley,664.9144841,22.02671892,59.30492665
